judul_indo,clean_text,cluster
Deteksi Kerusakan Jalan Aspal Menggunakan Deep Learning Berbasis Pengolahan Citra Digital,deteksi kerusakan aspal deep learning pengolahan citra digital,10
"DAMPAK BIMBINGAN PERTANIAN, PENGEMBANGAN SOSIAL  EKONOMI KEUSKUPAN AGUNG PONTIANAK TERHADAP SOSIAL  EKONOMI PETANI KOTA SINGKAWANG",bimbingan pertanian sosial ekonomi sosial ekonomi petani,3
Pola Mobilitas Masyarakat Wilayah Perbatasan Indonesia-Malaysia Di Kalimantan Barat,mobilitas masyarakat wilayah perbatasan,8
Paket (alternatif penyelesaian melalui pendekatan hukum adat),alternatif penyelesaian hukum,10
TRADISI NYENGKELAN TANAH: ANALISIS NILAI-NILAI MULTIKULTURAL PADA MASYARAKAT DAYAK KANTUK KAPUAS HULU,tradisi nyengkelan nilai nilai multikultural masyarakat kantuk,8
PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS AUGMENTED REALITY (AR) PADA MATA KULIAH FISIOLOGI HEWAN,media pembelajaran augmented reality kuliah fisiologi hewan,5
"Pengaruh Sertifikasi Halal, Harga, dan Customer Review Online Terhadap Keputusan Pembelian Pada UKM Ilmio Gelato",sertifikasi halal harga customer review online keputusan pembelian,10
Pengaruh Atribut Destinasi Wisata Halal dan Kualitas Layanan terhadap Kepuasan dan Loyalitas Wisatawan Muslim: Peran Moderasi Motivasi Perjalanan,atribut destinasi wisata halal kualitas layanan kepuasan loyalitas wisatawan muslim peran moderasi motivasi perjalanan,10
Perancangan Sistem Elektrokoagulasi dengan Kombinasi Filtrasi Untuk Desalinasi Air Payau Daerah Pesisir,elektrokoagulasi kombinasi filtrasi desalinasi payau,10
Perbandingan Perilaku Pembagian Curahan Kerja dalam Rumah Tangga Tani,perbandingan perilaku pembagian curahan kerja rumah tangga tani,10
SISTEM MONITORING PENGERINGAN PADI SECARA REAL-TIME MENGGUNAKAN LORA-INTERNET OF THINGS,monitoring pengeringan padi real time lora internet things,10
MEMAHAMI PENDIDIKAN MULTIKULTURAL: PERSEPSI CALON GURU DI IAIS (INSTITUT AGAMA ISLAM SULTAN MUHAMMAD SYAFIUDDIN) SAMBAS,memahami multikultural calon guru,9
PENGARUH JARAK ELEKTRODA DAN WAKTU DALAM PROSES ELEKTROKOAGULASI-ADSORPSI DENGAN ZEOLIT PADA AIR LINDI,jarak elektroda proses elektrokoagulasi zeolit lindi,10
PENGARUH KOMPETENSI 4C BERBASIS HOTS TERHADAP KREATIVITAS DAN INOVASI GURU DALAM PROSES PEMBELAJARAN ABAD 21 DI SMA NEGERI 1 MEMPAWAH,kompetensi hots kreativitas inovasi guru proses pembelajaran,9
KEBIJAKAN  PROGRAM  PENINGKATAN KUALITAS LINGKUNGAN PEMUKIMAN  DESA DI KAMPUNG NELAYAN KECAMATAN  SUNGAI KAKAP KABUPATEN  KUBU RAYA,kebijakan kualitas lingkungan pemukiman,10
PENERAPAN PRINSIP GOOD GOVERNANCE DALAM IMPLEMENTASI KEBIJAKAN INOVASI PELAYANAN PUBLIK DI KABUPATEN KUBU RAYA,prinsip good governance kebijakan inovasi pelayanan publik,10
RESPON PERTUMBUHAN DAN HASIL JAGUNG MANIS AKIBAT PUPUK KALIUM DAN WAKTU APLIKASI PACLOBUTRAZOL DI TANAH GAMBUT,pertumbuhan jagung manis akibat pupuk kalium aplikasi paclobutrazol gambut,10
MENERAPKAN STRATEGI POLYA DAN MEANS-END ANALYSIS (MEA) UNTUK MENINGKATKAN KEMAMPUAN MENYELESAIKAN MASALAH SISWA SMA PADA MATERI EFEK DOPPLER,menerapkan strategi polya means end menyelesaikan materi doppler,10
STUDI PERTUMBUHAN DAN HASIL KACANG MERAH PADA SISTEM BUDIDAYA JENUH AIR DI LAHAN PASANG SURUT SULFAT MASAM,pertumbuhan kacang merah budidaya jenuh pasang surut sulfat masam,10
PEMBERDAYAAN PETANI LADA : KASUS PETANI LADA  DI KAWASAN PERBATASAN ENTIKONG – KALIMANTAN BARAT,pemberdayaan petani lada petani lada perbatasan,10
GAYA BAHASA SINDIRAN DAN PLEONASME DALAM DEBAT CAPRES DAN CAWAPRES TAHUN 2024,gaya bahasa sindiran pleonasme debat capres cawapres,4
Pengaruh Pemberian Biochar Kotoran Ayam  Terhadap Ketersediaan hara NPK dan Pertumbuhan  Tanaman Cabai  Rawit di Tanah Alluvial,pemberian biochar kotoran ayam ketersediaan hara npk pertumbuhan tanaman cabai rawit alluvial,10
Efektivitas Vegetasi Ruang Terbuka Hijau sebagai Penjerap Partikulat dan Agen Fitoremidiasi Pencemar Udara Timbal (Pb),efektivitas vegetasi ruang terbuka hijau penjerap partikulat fitoremidiasi pencemar udara timbal,10
MANAJEMEN PENJAMINAN MUTU KEPALA MTS AL-HUSNA PONTIANAK,manajemen penjaminan mutu,10
POLITIK HUKUM KEBIJAKAN SEKTOR KELAUTAN DAN PERIKANAN YANG BERBASIS PRINSIP EKONOMI BIRU,politik hukum kebijakan sektor kelautan perikanan prinsip ekonomi biru,10
PERAN MODEL KOMPETENSI SDM (ULRICH) TERHADAP KINERJA MANAJER,peran kompetensi sdm kinerja manajer,0
IDENTIFIKASI MIKROPLASTIK PADA BEBERAPA SUMBER AIR DI KOTA PONTIANAK,identifikasi mikroplastik sumber,10
AMBANG BATAS SIMILIARITAS PADA SEKELOMPOK DOKUMEN TEKS MENGGUNAKAN METODE COISINE SIMILARITY DAN JACCARD SIMILARITY,ambang batas similiaritas sekelompok dokumen teks coisine similarity jaccard similarity,10
KAJIAN SIFAT-SIFAT TANAH PASCA TAMBANG UPAYA MENDUKUNG  USAHA PELESTARIAN SUMBERDAYA ALAM: STUDI KASUS  DI KELURAHAN KEDABANG KABUPATEN SINTANG,kajian sifat sifat pasca tambang upaya mendukung usaha pelestarian sumberdaya alam kelurahan,10
"PENGARUH PROFITABILITAS, LEVERAGE, CAPITAL INTENSITY DAN UKURAN PERUSAHAAN TERHADAP TAX AVOIDANCE",profitabilitas leverage capital intensity ukuran perusahaan tax avoidance,0
OPTIMALISASI PRODUKSI GARAM DENGAN MENGGUNAKAN TEKNOLOGI PRISMA UNTUK MENDAPATKAN GARAM YANG BERKUALITAS BAIK,optimalisasi produksi garam teknologi prisma garam berkualitas,10
Analisis Potensi Ekonomi dan Proyeksi Kesempatan Kerja di Kabupaten Kayong Utara,potensi ekonomi proyeksi kesempatan kerja,3
Tantangan dan Peluang Perbankan Digital Bagi Generasi Z Dalam Mendukung Pertumbuhan UMKM,tantangan peluang perbankan digital generasi z mendukung pertumbuhan,10
ANALISIS DAYA DUKUNG DAN DAYA TAMPUNG  LINGKUNGAN HIDUP BERBASIS JASA EKOSISTEM PADA KAWASAN BUDIDAYA DALAM RTRW KABUPATEN BENGKAYANG TAHUN 2025-2045,daya dukung daya tampung lingkungan hidup jasa ekosistem budidaya rtrw,10
PANDANGAN EKONOMI ISLAM TENTANG KONTRIBUSI AGAMA ISLAM TERHADAP JUMLAH PERCERAIAN DI KOTA SAMARINDA,pandangan ekonomi kontribusi perceraian,3
PENGARUH BEROPERASINYA KENDARAAN BERAT  PADA KORIDOR LINTASAN ANGKUTAN BARANG  TERHADAP KINERJA LALU LINTAS DI KOTA PONTIANAK (STUDI KASUS JALAN IMAM BONJOL-JALAN ADI SUCIPTO),beroperasinya kendaraan berat koridor lintasan angkutan barang kinerja lintas,0
FAKTOR DETERMINAN KINERJA KELOMPOK TANI DALAM MENDUKUNG PERTANIAN BERKELANJUTAN DI KABUPATEN KUBURAYA,faktor determinan kinerja kelompok tani mendukung pertanian berkelanjutan,0
Intensitas Serangan Penggerek Kayu di Laut Pada Kayu Meranti dan Bengkirai,intensitas serangan penggerek kayu laut kayu meranti bengkirai,10
IDENTIFIKASI SENYAWA PENYUSUN MINYAK ATSIRI DARI 3 SPESIES  TUMBUHAN ANGGOTA GENUS SYZYGIUM,identifikasi senyawa penyusun minyak atsiri spesies tumbuhan anggota genus syzygium,10
ANALISIS INDEKS KUALITAS TANAH PADA BEBERAPA PENGGUNAAN LAHAN DAN LERENG SEBAGAI UPAYA MENGATASI DEGRADASI LAHAN,indeks kualitas lereng upaya mengatasi degradasi,10
Analisis Strategi dan Program Pembangunan Industri di Kabupaten Sambas,strategi pembangunan industri,10
Effek Ameliorasi  Red Mud dan Rhizobium Terhadap Pembentukan   Bintil Akar dan Konsentrasi Natrium pada Kedelai Edamame  Di Media Gambut,effek ameliorasi red mud rhizobium pembentukan bintil akar konsentrasi natrium kedelai edamame media gambut,10
STRATEGI MITIGASI RISIKO BERBASIS SUMBER DAYA LOKAL UNTUK PENINGKATAN KINERJA USAHA DAN KETAHANAN PANGAN  RUMAH TANGGA NELAYAN,strategi mitigasi risiko sumber daya lokal kinerja usaha ketahanan pangan rumah tangga,0
PEMETAAN PERMUKIMAN PADA KAWASAN HUTAN DI KECAMATAN PALOH KABUPATEN SAMBAS,pemetaan permukiman hutan,10
Pengembangan Model Prediksi Pertumbuhan Bibit Kelapa  Sawit Berbasis Ensemble Learning untuk Optimalisasi  Produksi,prediksi pertumbuhan bibit kelapa sawit ensemble learning optimalisasi produksi,0
PEMETAAN RTH (RUANG TERBUKA HIJAU) KOTA PONTIANAK MELALUI PENDEKATAN OBIA (OBJECT BASED IMAGE ANALYSIS),pemetaan ruang terbuka hijau object image,10
Analisis Pengaruh Kepemilikan Institusional Terhadap Performa Saham Syariah : Studi Empiris Pada Perusahaan Yang Terdaftar di Jakarta Islamic Index Periode 2020-2023,kepemilikan institusional performa saham syariah empiris perusahaan terdaftar periode,0
Penentuan Absorbsi Suara Papan Partikel Serat Kulit Durian Pada Kerapatan Dan Lama Perendaman Panas,penentuan absorbsi suara papan partikel serat kulit durian kerapatan perendaman panas,10
Dinamika Kemiskinan Perdesaan di Kalimantan Barat: Analisis Data Panel,dinamika kemiskinan perdesaan data panel,10
ANALSIS CAPAIAN NILAI OPTIMUM RESISTANSI PEMBUMIAN DENGAN PENAMBAHAN KARBON AKTIF ARANG TEMPURUNG KELAPA SAWIT DAN VARIASI KEDALAMAN PENANAMAN GROUNDING ROD,analsis capaian nilai optimum resistansi pembumian penambahan karbon aktif arang tempurung kelapa sawit variasi kedalaman penanaman grounding rod,0
KARAKTERISTIK KOMPONEN KIMIA MINYAK ATSIRI DAUN GELAM (Melaleuca leucandendron Linn.) DARI 3 WILAYAH  DI KALIMANTAN BARAT,karakteristik komponen kimia minyak atsiri daun gelam melaleuca leucandendron linn wilayah,10
KARAKTERISTIK ANATOMI STOMATA DAUN TUMBUHAN MANGROVE SEBAGAI INDIKATOR KUALITAS LINGKUNGAN,karakteristik anatomi stomata daun tumbuhan mangrove indikator kualitas lingkungan,10
Pengujian Pembentukan Gaharu Aquilaria malacensis Oleh Bio-Induksi Teknik Olesan Pada Permukaan Batang,pengujian pembentukan gaharu aquilaria malacensis bio induksi olesan permukaan batang,10
Identifikasi Jamur Pembentuk Gaharu Pada Pohon  Aquilaria malacensis Dengan Teknik Bio-Induksi,identifikasi jamur pembentuk gaharu pohon aquilaria malacensis bio induksi,10
Identifikasi Jenis Zingiberaceae di Bukit Semujan Taman Nasional Danau Sentarum,identifikasi jenis zingiberaceae semujan,10
Serangga Berpotensi Sebagai Hama di Hutan Mangrove di Daerah Sambas,serangga berpotensi hama hutan mangrove,10
Pengaruh Penerapan Sistem Ekonomi Digital Terhadap Pendapatan UMKM Coffeeshop di Pontianak,ekonomi digital pendapatan coffeeshop,3
"Seleksi tumbuhan pewarna  berdasarkan pertumbuhan, produksi, dan kandungan zat pewarna",seleksi tumbuhan pewarna berdasarkan pertumbuhan produksi kandungan zat pewarna,10
Kajian Kelayakan Potensi dan StrategiPengembangan Arboretum Sylva Universitas Tanjungpura Sebagai Destinasi Ekowisata Kota di Pontianak,kajian kelayakan potensi strategipengembangan arboretum sylva destinasi ekowisata,10
"Kajian Limpasan Permukaan di DAS Labang dan Kebiyau Kabupaten Sintang Kalimantan Barat""",kajian limpasan permukaan,10
Kajian Database Keanekaragaman Hayati dan Carbon Stock di Areal Pencadangan Taman Kehati Kota Pontianak,kajian database keanekaragaman hayati carbon stock areal pencadangan kehati,10
Peran Valuasi Ekonomi dalam Jasa Pengaturan Ekosistem Mangrove,peran valuasi ekonomi jasa pengaturan ekosistem mangrove,3
"SIFAT ANATOMI, FISIS, MEKANIS, DAN KEAWETAN ALAMI BATANG  KELAPA SAWIT (Elaeis oleifera)",sifat anatomi fisis mekanis keawetan alami batang kelapa sawit elaeis,0
Jenis Vegetasi Di Sekitar Tempat Tumbuh Akar Laka (Dalbergia Palviflora Roxb) di Sungai Karim Muara Jekak Kecamatan Sandai Kabupaten Ketapang,jenis vegetasi tumbuh akar laka jekak,10
Pengembangan dan Analisis Kinerja Radio HF Untuk Aplikasi IoT Pada Sistem Monitoring Cuaca dan Ketinggian Air Sungai Di Daerah Rawan Banjir,kinerja radio hf aplikasi monitoring cuaca ketinggian rawan banjir,0
"EFEKTIVITAS BALIKAN ATRIBUSIONAL LISAN, TULISAN, DAN PENGUATAN, MODIFIKASI MODEL SCHUNK DALAM MENINGKATKAN KETEKUNAN DAN PRESTASI BELAJAR SISWA BERPRESTASI-KURANG DAN SISWA-BERPRESTASI-RENDAH PADA MATAPELAJARAN MATEMATIKA DI SMP",efektivitas balikan atribusional lisan tulisan penguatan modifikasi schunk ketekunan prestasi belajar berprestasi berprestasi rendah,10
Studi Kelayakan Finansial dalam Pemilihan Tanaman Tahun pada Sistem Wanatani Berdasarkan Kesesuaian Lahan di Kebun Sawit Rakyat,kelayakan finansial pemilihan tanaman wanatani berdasarkan kesesuaian kebun sawit rakyat,10
PEMANFAATAN ROTAN SEBAGAI KERAJINAN ANYAMAN DI DESA SAHAN KECAMATAN SELUAS KABUPATEN BENGKAYANG,rotan kerajinan anyaman,10
RANCANGAN GEOMETRI PELEDAKAN TAMBANG TERBUKA BERBASIS DIGITALISASI MENGGUNAKAN METODE VISUAL BLOCK PROGRAMING,geometri peledakan tambang terbuka digitalisasi visual block programing,10
ANALISIS DAERAH RAWAN KECELAKAAN LALU LINTAS PADA JALAN UTAMA DI KOTA PONTIANAK,rawan kecelakaan lintas utama,10
PENGEMBANGAN PAPAN PEREDAM SUARA DARI LIMBAH BIOMASSA SERAT MESOCARP KELAPA SAWIT,papan peredam suara limbah biomassa serat mesocarp kelapa sawit,0
Kesesuaian Model Hidrograf Satuan Sintetik ITB Pada Sub DAS Landak,kesesuaian hidrograf satuan sintetik sub,10
KLASTERISASI DAN STRUKTUR ATRAKSI WISATA DI KOTA SINGKAWANG MENUJU KOTA KREATIF,klasterisasi struktur atraksi wisata kreatif,10
Menuju Ekonomi Hijau: Penerapan ISPO pada Perusahaan Perkebunan Kelapa Sawit - Studi Kasus Pengaruh PT.Persepsi Karyawan MAR terhadap Penerapan ISPO,ekonomi hijau perusahaan perkebunan kelapa sawit,0
STUDI PEMANFAATAN  BAMBU SEBAGAI BAHAN KERAJINAN ANYAMAN   OLEH MASYARAKAT DESA SAHAN KECAMATAN SELUAS   KABUPATEN BENGKAYANG,bambu bahan kerajinan anyaman masyarakat,8
Desain Konseptual Web Instansi Daerah Pesisir dengan Pendekatan Low Fidelity Prototyping,desain konseptual web instansi low fidelity prototyping,10
Pembuatan pekasam skala laboratorium menggunakan isolat BAL terpilih,pembuatan pekasam skala laboratorium isolat bal terpilih,10
SISTEM MONITORING KUALITAS AIR BOILER PADA PABRIK KELAPA SAWIT,monitoring kualitas boiler pabrik kelapa sawit,0
PENGOLAHAN LIMBAH CAIR LAUNDRY DENGAN METODE KOMBINASI PENGOLAHAN BIOLOGI DAN FISIKA,pengolahan limbah cair laundry kombinasi pengolahan fisika,10
CUSTOMER RELATIONSHIP MANAGEMENT (CRM) SYSTEM PADA PENINGKATAN LAYANAN PENGGUNA E-LEARNING UNTAN,customer relationship management system layanan pengguna learning,10
ANALISIS KONTRIBUSI SEKTOR PARIWISATA TERHADAP PENDAPATAN ASLI DAERAH DI PROVINSI KALIMANTAN,kontribusi sektor pariwisata pendapatan asli,10
"Pengaruh Intensitas Modal, Ukuran Perusahaan, Dan Profitabilitas Terhadap Effective Tax Rate (ETR)",intensitas modal ukuran perusahaan profitabilitas effective tax rate,0
Pengembangan Sistem Pemompaan Air Pintar  Dengan Memanfaatkan Energi Terbarukan  Berbasis IoT Dan LoRa,pemompaan pintar memanfaatkan energi terbarukan lora,10
"PENGARUH EFIKASI DIRI KREATIF, KAPABILITAS DINAMIS WIRAUSAHAWAN DAN BERBAGI PENGETAHUAN TERHADAP PERILAKU KERJA INOVATIF SERTA DAMPAKNYA TERHADAP KINERJA UMKM",efikasi kreatif kapabilitas dinamis wirausahawan berbagi pengetahuan perilaku kerja inovatif dampaknya kinerja,10
Faktor-faktor yang mempengaruhi kesejahteraan masyarakat di Kabupaten Sambas,faktor faktor mempengaruhi kesejahteraan masyarakat,8
KAJIAN KEKRITISAN LAHAN DI DESA RIRANG JATI KABUPATEN SEKADAU KALIMANTAN BARAT,kajian kekritisan,10
POTENSI VIRGIN RED PALM OIL PADA PEMBUATAN SOSIS  AYAM,potensi virgin red palm oil pembuatan sosis ayam,10
PERANAN ABU BOILER  DAN PUPUK KANDANG AYAM TERHADAP KETERSEDIAAN HARA MAKRO DAN PERTUMBUHAN  TANAMAN JAGUNG  (Zea mays L.)  PADA TANAH GAMBUT,boiler pupuk kandang ayam ketersediaan hara makro pertumbuhan tanaman jagung gambut,10
JENIS BAHAN MORDAN DAN FIKSASI PADA PROSES PEWARNAAN BENANG KATUN MENGGUNAKAN DAUN TENGKAWANG (Shorea pinanga),jenis bahan mordan fiksasi proses pewarnaan benang katun daun tengkawang,10
PERANAN ARANG SEKAM PADI DAN PUPUK KANDANG SAPI TERHADAP KETERSEDIAAN HARA MAKRO SERTA HASIL TANAMAN TOMAT CERI (Solanum Lycopersicum) DI TANAH ULTISOL,arang sekam padi pupuk kandang sapi ketersediaan hara makro tanaman tomat ceri ultisol,10
"Penentuan Sifat Fisik dan Akustik Papan Partikel Limbah Serat Durian (Durio, Sp)",penentuan sifat fisik akustik papan partikel limbah serat durian,10
Penentuan Indeks Bahaya Erosi Di Bagian Hulu Wilayah Sungai (WS) Kapuas,penentuan indeks bahaya erosi wilayah,10
APLIKASI BIOENKAPSULAN Metharizium spp. PADA BERBAGAI MEDIA HIDUP LARVA Oryctes rhinocheros,aplikasi bioenkapsulan media hidup larva,5
PERSPEKTIF PETANI TERHADAP ADOPSI TEKNOLOGI SMART FARMING: TINJAUAN PADA PETANI PADI (STUDI DI DESA SUNGAI ITIK DAN DESA PARIT KELADI),perspektif petani teknologi smart farming tinjauan petani padi,10
AKTIVITAS ENZIM NITRAT REDUKTASE BEBERAPA KULTIVAR SETEK LADA ASAL BIJI YANG DITANAM  PADA LAHAN GAMBUT,enzim nitrat reduktase kultivar setek lada biji ditanam gambut,10
Pengaruh Imbalanced Data Pada Klasifikasi Data Menggunakan Deep Learning,imbalanced data klasifikasi data deep learning,10
HARGA DIRI DAN IDE BUNUH DIRI KORBAN PERUNDUNGAN DI SEKOLAH,harga ide bunuh korban perundungan sekolah,1
KARAKTERISASI BRIKET DAUN NANAS DARI LIMBAH BUDIDAYA TANAMAN NANAS SEBAGAI SUMBER BIOENERGI ALTERNATIF,karakterisasi briket daun nanas limbah budidaya tanaman nanas sumber bioenergi alternatif,10
RESPON FISIOLOGIS DAN PROFIL KOLESTEROL DAGING AYAM KAMPUNG DENGAN SUPLEMENTASI PAKAN TEPUNG KUNYIT (CURCUMA DOMESTICA VAL.),fisiologis profil kolesterol daging ayam suplementasi pakan tepung kunyit curcuma,10
Keberlanjutan Rantai Pasok Hijau Perkebunan Kelapa Sawit di Kalimantan Barat melalui Green Commodity Supply Chain Index,keberlanjutan rantai pasok hijau perkebunan kelapa sawit green commodity supply chain,0
PENGARUH DOSIS DAN WAKTU APLIKASI  PUPUK HAYATI TERHADAP KARAKTER MORFOFISIOLOGI DAN HASIL KEDELAI EDAMAME PADA TANAH GAMBUT,dosis aplikasi pupuk hayati karakter morfofisiologi kedelai edamame gambut,10
Evaluasi Lignin Tandan Kosong Kelapa Sawit dengan Kitosan dan Urea sebagai Produk Suplemen Pakan Ruminansia,evaluasi lignin tandan kelapa sawit kitosan urea produk suplemen pakan ruminansia,0
ANALISIS PENGARUH FAKTOR DEMOGRAFI DAN GEOGRAFIS: IMPLIKASI PENDUDUK PEDESAAN PADA NILAI TAMBAH DAN KEBERLANJUTAN HUTAN DAN LAHAN PERTANIAN DI ASIA TENGGARA,faktor demografi geografis implikasi penduduk pedesaan nilai keberlanjutan hutan pertanian,0
"Peran Pemerintah, Investasi dan Ketenagakerjaan Terhadap Pendapatan Wilayah di Kalimantan Barat",peran pemerintah investasi ketenagakerjaan pendapatan wilayah,10
Pertumbuhan dan Hasil Jagung Tahan Cekaman Kemasaman Di Lahan Gambut,pertumbuhan jagung tahan cekaman kemasaman gambut,10
"Pengaruh Pemberian Residu Bauksit dan Pupuk KCl terhadap Ketersediaan Hara, Pertumbuhan dan Hasil Tanaman Jagung (Zea Mays L.) di Lahan Gambut",pemberian residu bauksit pupuk kcl ketersediaan hara pertumbuhan tanaman jagung gambut,10
KARAKTERISTIK KUALITAS AIR DI DANAU LIUT KABUPATEN SINTANG,karakteristik kualitas,10
Inventarisasi dan Analisis Hambatan Peningkatan Produktivitas Pinang di Kecamatan Sungai Kakap Kabupaten Kubu Raya,inventarisasi hambatan produktivitas pinang,10
STUDI PERTUMBUHAN DAMPAK PENGGUNAAN MERCURI PADA DAERAH PENAMBANGAN EMAS RAKYAT DARI SUDUT PANDANG ANALISIS LINGKUNGAN DAN GEJALA SOSIAL-EKONOMI,pertumbuhan mercuri penambangan emas rakyat sudut pandang lingkungan gejala sosial ekonomi,3
Status Pengelolaan Perikanan Berbasis Ekosistem di Danau Liut Kabupaten Sintang,status pengelolaan perikanan ekosistem,10
INDUKSI MUTASI LADA DENGAN RADIASI GAMMA,induksi mutasi lada radiasi gamma,10
PENGARUH KOMBINASI PUPUK KANDANG KAMBING DAN PUPUK NPK TERHADAP HASIL JAGUNG DAN EFISIENSI PENGGUNAAN HARA DARI PUPUK ANORGANIK,kombinasi pupuk kandang kambing pupuk npk jagung efisiensi hara pupuk anorganik,10
Modifikasi Media Tumbuh Generik dalam rangka Produksi Bibit Krisan Berkualitas dengan Teknologi Kultur jaringan,modifikasi media tumbuh generik rangka produksi bibit krisan berkualitas teknologi kultur jaringan,10
"Kajian Kandungan Logam Berat Merkuri (Hg) pada Ikan, Sedimen, dan Air Danau Pascatambang, Danau Belibis, Kalimantan Barat",kajian kandungan logam berat merkuri ikan sedimen pascatambang belibis,10
Rasio Palm Kernel dan Palm Stearin dalam Pembuatan Cocoa Butter Subtitusi,rasio palm kernel palm stearin pembuatan cocoa butter subtitusi,10
Pengembangan Tanaman Melon Dengan Pemberian Pupuk Organik Pada Berbagai Tingkat Kematangan Gambut,tanaman melon pemberian pupuk organik tingkat kematangan gambut,10
Penapisan Jamur Antagonis Ganoderma dari Tanaman Palmae di Kabupaten Kubu Raya Kalimantan Barat,penapisan jamur antagonis ganoderma tanaman palmae,10
